reference_id,authors,title,journal,year,volume,citation_footer,citation_type,citation,urls,pubmed_id,doi,header,reference_type,study_id,exclusion_reason,PUBMED_ID_TITLE_AUTHORS,PUBMED_ID_TITLE,PUBMED_ID_S2,N_CITATIONS,S2_PDF_LINK,CORE_PDF_LINK,PUBMED_ID
CD002143-bib-0001,"Abratt RP, Shepherd LJ, Mameena Salton DG. ",Palliative radiation for stage 3 non‐small cell lung cancer ‐ a prospective study of two moderately high dose regimens, Lung Cancer ,1995,13,    ,['citation-journal']," Abratt RP, Shepherd LJ, Mameena Salton DG. Palliative radiation for stage 3 non‐small cell lung cancer ‐ a prospective study of two moderately high dose regimens.  Lung Cancer 1995;13(2):137‐43.    Link to article     Google Scholar     ","['https://doi.org/10.1016/0169-5002(95)00487-4', 'https://scholar.google.com/scholar_lookup?title=Palliative+radiation+for+stage+3+non‐small+cell+lung+cancer+‐+a+prospective+study+of+two+moderately+high+dose+regimens+&author=RP+Abratt&author=LJ+Shepherd&author=DG+MameenaSalton&publication_year=1995&hl=en']",,https://doi.org/10.1016/0169-5002(95)00487-4, Abratt 1995 {published data only (unpublished sought but not used)}  ,included,CD002143-bbs2-0001,,8581393,8581393,8581393,81.0,,,8581393
CD002143-bib-0002,"Bezjak A, Dixon P, Brundage M, Tu DS, Palmer MJ, Blood P, et al. ",Randomized phase III trial of single versus fractionated thoracic radiation in the palliation of patients with lung cancer (NCIC CTG SC.15), International Journal of Radiation Oncology Biology and Physics ,2002,54,    ,['citation-journal']," Bezjak A, Dixon P, Brundage M, Tu DS, Palmer MJ, Blood P, et al. Randomized phase III trial of single versus fractionated thoracic radiation in the palliation of patients with lung cancer (NCIC CTG SC.15).  International Journal of Radiation Oncology Biology and Physics 2002;54:719‐28.    Link to article     Google Scholar     ","['https://doi.org/10.1016/S0360-3016(02)02989-9', 'https://scholar.google.com/scholar_lookup?title=Randomized+phase+III+trial+of+single+versus+fractionated+thoracic+radiation+in+the+palliation+of+patients+with+lung+cancer+(NCIC+CTG+SC.15)+&author=A+Bezjak&author=P+Dixon&author=M+Brundage&author=DS+Tu&author=MJ+Palmer&publication_year=2002&hl=en']",,https://doi.org/10.1016/S0360-3016(02)02989-9, Bezjak 2002 {published data only (unpublished sought but not used)}  ,included,CD002143-bbs2-0002,,,12377323,12377323,158.0,,,12377323
CD002143-bib-0003,"Erridge SC, Gaze MN, Price A, Kelly CG, Kerr GR, Cull A, et al. ",Symptom control and quality of life in people with lung cancer: a randomised trial of two palliative radiotherapy fractionation schedules, Clinical Oncology ,2005,17,    ,['citation-journal']," Erridge SC, Gaze MN, Price A, Kelly CG, Kerr GR, Cull A, et al. Symptom control and quality of life in people with lung cancer: a randomised trial of two palliative radiotherapy fractionation schedules.  Clinical Oncology 2005;17:61‐7.    Link to article     Google Scholar     ","['https://doi.org/10.1016/j.clon.2004.09.008', 'https://scholar.google.com/scholar_lookup?title=Symptom+control+and+quality+of+life+in+people+with+lung+cancer:+a+randomised+trial+of+two+palliative+radiotherapy+fractionation+schedules+&author=SC+Erridge&author=MN+Gaze&author=A+Price&author=CG+Kelly&author=GR+Kerr&author=A+Cull&publication_year=2005&hl=en']",,https://doi.org/10.1016/j.clon.2004.09.008, Erridge 2005 {published and unpublished data}  ,included,CD002143-bbs2-0003,,,,15714933,95.0,,,15714933
CD002143-bib-0004,"Kramer GW, Wanders SL, Noordijk EM, Vonk EJ, van Houwelingen HC, van den Hout WB, et al. ",Results of the Dutch National study of the palliative effect of irradiation using two different treatment schemes for non‐small cell lung cancer, Journal of Clinical Oncology ,2005,23,    ,['citation-journal']," Kramer GW, Wanders SL, Noordijk EM, Vonk EJ, van Houwelingen HC, van den Hout WB, et al. Results of the Dutch National study of the palliative effect of irradiation using two different treatment schemes for non‐small cell lung cancer.  Journal of Clinical Oncology 2005;23:2962‐70.    Link to article     Google Scholar     ","['https://doi.org/10.1200/JCO.2005.01.685', 'https://scholar.google.com/scholar_lookup?title=Results+of+the+Dutch+National+study+of+the+palliative+effect+of+irradiation+using+two+different+treatment+schemes+for+non‐small+cell+lung+cancer+&author=GW+Kramer&author=SL+Wanders&author=EM+Noordijk&author=EJ+Vonk&author=HC+Houwelingen&author=WB+Hout&publication_year=2005&hl=en']",,https://doi.org/10.1200/JCO.2005.01.685, Kramer 2005 {published and unpublished data}  ,included,CD002143-bbs2-0004,,,15860852,15860852,114.0,,,15860852
CD002143-bib-0005,Medical Research Council Lung Cancer Working Party. ,Inoperable non‐small‐cell lung cancer (NSCLC): a Medical Research Council randomised trial of palliative radiotherapy with two fractions or ten fractions, British Journal of Cancer ,1991,63,    ,['citation-journal'], Medical Research Council Lung Cancer Working Party. Inoperable non‐small‐cell lung cancer (NSCLC): a Medical Research Council randomised trial of palliative radiotherapy with two fractions or ten fractions.  British Journal of Cancer 1991;63:265‐70.    Link to article     ,['https://doi.org/10.1038/bjc.1991.62'],,https://doi.org/10.1038/bjc.1991.62, MRC 1991 {published and unpublished data}  ,included,CD002143-bbs2-0005,,8814372,,1705140,73.0,https://europepmc.org/articles/pmc1971762?pdf=render,http://core.ac.uk/labs/oadiscovery/redirect?url=https%3A%2F%2Fwww.nature.com%2Farticles%2Fbjc199162.pdf&key=66C34DA379F28F8772577DED0EED6200,1705140
CD002143-bib-0006,Medical Research Council Lung Cancer Working Party. ,A Medical Research Council (MRC) randomised trial of palliative radiotherapy with two fractions or a single fraction in patients with inoperable non‐small‐cell lung cancer (NSCLC) and poor performance status, British Journal of Cancer ,1992,65,    ,['citation-journal'], Medical Research Council Lung Cancer Working Party. A Medical Research Council (MRC) randomised trial of palliative radiotherapy with two fractions or a single fraction in patients with inoperable non‐small‐cell lung cancer (NSCLC) and poor performance status.  British Journal of Cancer 1992;65:934‐41.    Link to article     ,['https://doi.org/10.1038/bjc.1992.196'],,https://doi.org/10.1038/bjc.1992.196, MRC 1992 {published and unpublished data}  ,included,CD002143-bbs2-0006,,25586198,,1377484,271.0,https://www.nature.com/articles/bjc1992196.pdf,http://core.ac.uk/labs/oadiscovery/redirect?url=https%3A%2F%2Fwww.nature.com%2Farticles%2Fbjc1992196.pdf&key=10549614D6E896B7C1B4BB35679508D9,1377484
CD002143-bib-0007,Medical Research Council Lung Cancer Working Party. ,Randomized trial of palliative two‐fraction versus more intensive thirteen fraction radiotherapy for patients with inoperable non‐small cell lung cancer and good performance status, Clinical Oncology ,1996,8,    ,['citation-journal'], Medical Research Council Lung Cancer Working Party. Randomized trial of palliative two‐fraction versus more intensive thirteen fraction radiotherapy for patients with inoperable non‐small cell lung cancer and good performance status.  Clinical Oncology 1996;8:167‐75.    Link to article     ,['https://doi.org/10.1016/S0936-6555(96)80041-0'],,https://doi.org/10.1016/S0936-6555(96)80041-0, MRC 1996 {published and unpublished data}  ,included,CD002143-bbs2-0007,,,,8814371,219.0,,,8814371
CD002143-bib-0008,"Nestle U, Nieder N, Walter K, Abel U, Ukena D, Sybrecht GW, et al. ",A palliative accelerated irradiation regimen for advanced non‐small cell lung cancer vs. conventionally fractionated 60 Gy: results of a randomized equivalence study," International Journal of Radiation, Oncology, Biology and Physics ",2000,48,    ,['citation-journal']," Nestle U, Nieder N, Walter K, Abel U, Ukena D, Sybrecht GW, et al. A palliative accelerated irradiation regimen for advanced non‐small cell lung cancer vs. conventionally fractionated 60 Gy: results of a randomized equivalence study.  International Journal of Radiation, Oncology, Biology and Physics 2000;48(1):95‐103.    Link to article     Google Scholar     ","['https://doi.org/10.1016/S0360-3016(00)00607-6', 'https://scholar.google.com/scholar_lookup?title=A+palliative+accelerated+irradiation+regimen+for+advanced+non‐small+cell+lung+cancer+vs.+conventionally+fractionated+60+Gy:+results+of+a+randomized+equivalence+study+&author=U+Nestle&author=N+Nieder&author=K+Walter&author=U+Abel&author=D+Ukena&author=GW+Sybrecht&publication_year=2000&hl=en']",,https://doi.org/10.1016/S0360-3016(00)00607-6, Nestle 2000 {published data only (unpublished sought but not used)}  ,included,CD002143-bbs2-0008,,,,10924977,82.0,,,10924977
CD002143-bib-0009,"Rees GJ, Devrell CE, Barley VL, Newman HFV. ",Palliative radiotherapy for lung cancer; two versus five fractions, Clinical Oncology ,1997,9,    ,['citation-journal']," Rees GJ, Devrell CE, Barley VL, Newman HFV. Palliative radiotherapy for lung cancer; two versus five fractions.  Clinical Oncology 1997;9:90‐5.    Link to article     Google Scholar     ","['https://doi.org/10.1016/S0936-6555(05)80446-7', 'https://scholar.google.com/scholar_lookup?title=Palliative+radiotherapy+for+lung+cancer;+two+versus+five+fractions&author=GJ+Rees&author=CE+Devrell&author=VL+Barley&author=HFV+Newman&publication_year=1997&hl=en']",,https://doi.org/10.1016/S0936-6555(05)80446-7, Rees 1997 {published data only (unpublished sought but not used)}  ,included,CD002143-bbs2-0009,,,,9135893,108.0,,,9135893
CD002143-bib-0010,"Reinfuss M, Glinski B, Kowalska T, Kulpa J, Zawila K, Reinfuss K, et al. ","Radiotherapy in stage III, unresectable, asymptomatic non‐small cell lung cancer. Final results of a prospective randomized study of 240 patients.", Cancer Radiothérapie ,1999,3,    ,['citation-journal']," Reinfuss M, Glinski B, Kowalska T, Kulpa J, Zawila K, Reinfuss K, et al. Radiotherapy in stage III, unresectable, asymptomatic non‐small cell lung cancer. Final results of a prospective randomized study of 240 patients. [Radiothérapie du cancer bronchique non à petites cellules de stade III, inoperable, asymptomatique. Résultats définitifs d'un essai prospectif randomisé (240 patients).].  Cancer Radiothérapie 1999;3:475‐9.    Link to article     Google Scholar     ","['https://doi.org/10.1016/S1278-3218(00)88254-2', 'https://scholar.google.com/scholar_lookup?title=Radiotherapy+in+stage+III,+unresectable,+asymptomatic+non‐small+cell+lung+cancer.+Final+results+of+a+prospective+randomized+study+of+240+patients.+&author=M+Reinfuss&author=B+Glinski&author=T+Kowalska&author=J+Kulpa&author=K+Zawila&author=K+Reinfuss&publication_year=1999&hl=en']",,https://doi.org/10.1016/S1278-3218(00)88254-2, Reinfuss 1999 {published data only (unpublished sought but not used)}  ,included,CD002143-bbs2-0010,,,,,58.0,,,
