reference_id,authors,title,journal,year,volume,citation_footer,citation_type,citation,urls,pubmed_id,doi,header,reference_type,study_id
CD008803-bib-0001,"Akashi A, Kanamori A, Nakamura M, Fujihara M, Yamada Y, Negi A. ","Comparative assessment for the ability of Cirrus, RTVue, and 3D-OCT to diagnose glaucoma", Investigative Ophthalmology and Visual Science ,2013,54,    ,['citation-journal']," Akashi A, Kanamori A, Nakamura M, Fujihara M, Yamada Y, Negi A. Comparative assessment for the ability of Cirrus, RTVue, and 3D-OCT to diagnose glaucoma.  Investigative Ophthalmology and Visual Science 2013;54(7):4478-84. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1167/iovs.12-11268', 'https://www.ncbi.nlm.nih.gov/pubmed/23737470', 'https://scholar.google.com/scholar_lookup?title=Comparative+assessment+for+the+ability+of+Cirrus,+RTVue,+and+3D-OCT+to+diagnose+glaucoma&author=A+Akashi&author=A+Kanamori&author=M+Nakamura&author=M+Fujihara&author=Y+Yamada&author=A+Negi&publication_year=2013&hl=en']",23737470,https://doi.org/10.1167/iovs.12-11268, Akashi 2013 {published data only}  ,included,CD008803-bbs2-0001
CD008803-bib-0002,"Aptel F, Sayous R, Fortoul V, Beccat S, Denis P. ",Structure-function relationships using spectral-domain optical coherence tomography: comparison with scanning laser polarimetry, American Journal of Ophthalmology ,2010,150,    ,['citation-journal']," Aptel F, Sayous R, Fortoul V, Beccat S, Denis P. Structure-function relationships using spectral-domain optical coherence tomography: comparison with scanning laser polarimetry.  American Journal of Ophthalmology 2010;150(6):825-33. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1016/j.ajo.2010.06.011', 'https://www.ncbi.nlm.nih.gov/pubmed/20851372', 'https://scholar.google.com/scholar_lookup?title=Structure-function+relationships+using+spectral-domain+optical+coherence+tomography:+comparison+with+scanning+laser+polarimetry+&author=F+Aptel&author=R+Sayous&author=V+Fortoul&author=S+Beccat&author=P+Denis&publication_year=2010&hl=en']",20851372,https://doi.org/10.1016/j.ajo.2010.06.011, Aptel 2010 {published data only}  ,included,CD008803-bbs2-0002
CD008803-bib-0003,"Arintawati P, Sone T, Akita T, Tanaka J, Kiuchi Y. ",The applicability of ganglion cell complex parameters determined from SD-OCT images to detect glaucomatous eyes, Journal of Glaucoma ,2013,22,    ,['citation-journal']," Arintawati P, Sone T, Akita T, Tanaka J, Kiuchi Y. The applicability of ganglion cell complex parameters determined from SD-OCT images to detect glaucomatous eyes.  Journal of Glaucoma 2013;22(9):713-8. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1097/IJG.0b013e318259b2e1', 'https://www.ncbi.nlm.nih.gov/pubmed/22668975', 'https://scholar.google.com/scholar_lookup?title=The+applicability+of+ganglion+cell+complex+parameters+determined+from+SD-OCT+images+to+detect+glaucomatous+eyes+&author=P+Arintawati&author=T+Sone&author=T+Akita&author=J+Tanaka&author=Y+Kiuchi&publication_year=2013&hl=en']",22668975,https://doi.org/10.1097/IJG.0b013e318259b2e1, Arintawati 2013 {published data only}  ,included,CD008803-bbs2-0003
CD008803-bib-0004,"Badalà F, Nouri-Mahdavi K, Raoof DA, Leeprechanon N, Law SK, Caprioli J. ",Optic disk and nerve fiber layer imaging to detect glaucoma, American Journal of Ophthalmology ,2007,144,    ,['citation-journal']," Badalà F, Nouri-Mahdavi K, Raoof DA, Leeprechanon N, Law SK, Caprioli J. Optic disk and nerve fiber layer imaging to detect glaucoma.  American Journal of Ophthalmology 2007;144(5):724-32. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1016/j.ajo.2007.07.010', 'https://www.ncbi.nlm.nih.gov/pubmed/17868631', 'https://scholar.google.com/scholar_lookup?title=Optic+disk+and+nerve+fiber+layer+imaging+to+detect+glaucoma&author=F+Badalà&author=K+Nouri-Mahdavi&author=DA+Raoof&author=N+Leeprechanon&author=SK+Law&author=J+Caprioli&publication_year=2007&hl=en']",17868631,https://doi.org/10.1016/j.ajo.2007.07.010, Badala 2007 {published data only}  ,included,CD008803-bbs2-0004
CD008803-bib-0005,"Barella KA, Costa VP, Goncalves Vidotti V, Silva FR, Dias M, Gomi ES. ",Glaucoma diagnostic accuracy of machine learning classifiers using retinal nerve fiber layer and optic nerve data from SD-OCT, Journal of Ophthalmology. ,2013,2013,    ,['citation-journal']," Barella KA, Costa VP, Goncalves Vidotti V, Silva FR, Dias M, Gomi ES. Glaucoma diagnostic accuracy of machine learning classifiers using retinal nerve fiber layer and optic nerve data from SD-OCT.  Journal of Ophthalmology. 2013;2013:Article ID 789129. CENTRAL    Link to article     Google Scholar     ","['', 'https://doi.org/10.1155/2013/789129', 'https://scholar.google.com/scholar_lookup?title=Glaucoma+diagnostic+accuracy+of+machine+learning+classifiers+using+retinal+nerve+fiber+layer+and+optic+nerve+data+from+SD-OCT+&author=KA+Barella&author=VP+Costa&author=V+GoncalvesVidotti&author=FR+Silva&author=M+Dias&author=ES+Gomi&publication_year=2013&hl=en']",,https://doi.org/10.1155/2013/789129, Barella 2013 {published data only}  ,included,CD008803-bbs2-0005
CD008803-bib-0006,"Begum VU, Addepalli UK, Yadav RK, Shankar K, Senthil S, Garudadri CS, et al. ",Ganglion cell-inner plexiform layer thickness of high definition optical coherence tomography in perimetric and preperimetric glaucoma, Investigative Ophthalmology and Visual Science ,2014,55,    ,['citation-journal']," Begum VU, Addepalli UK, Yadav RK, Shankar K, Senthil S, Garudadri CS, et al. Ganglion cell-inner plexiform layer thickness of high definition optical coherence tomography in perimetric and preperimetric glaucoma.  Investigative Ophthalmology and Visual Science 2014;55(8):4768-75. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1167/iovs.14-14598', 'https://www.ncbi.nlm.nih.gov/pubmed/25015361', 'https://scholar.google.com/scholar_lookup?title=Ganglion+cell-inner+plexiform+layer+thickness+of+high+definition+optical+coherence+tomography+in+perimetric+and+preperimetric+glaucoma+&author=VU+Begum&author=UK+Addepalli&author=RK+Yadav&author=K+Shankar&author=S+Senthil&author=CS+Garudadri&publication_year=2014&hl=en']",25015361,https://doi.org/10.1167/iovs.14-14598, Begum 2014a {published data only}  ,included,CD008803-bbs2-0006
CD008803-bib-0007,"Begum VU, Jonnadula GB, Yadav RK, Addepalli UK, Senthil S, Choudhari NS, et al. ",Scanning the macula for detecting glaucoma, Indian Journal of Ophthalmology ,2014,62,    ,['citation-journal']," Begum VU, Jonnadula GB, Yadav RK, Addepalli UK, Senthil S, Choudhari NS, et al. Scanning the macula for detecting glaucoma.  Indian Journal of Ophthalmology 2014;62(1):82-7. CENTRAL    PubMed     Google Scholar     ","['', 'https://www.ncbi.nlm.nih.gov/pubmed/24492506', 'https://scholar.google.com/scholar_lookup?title=Scanning+the+macula+for+detecting+glaucoma&author=VU+Begum&author=GB+Jonnadula&author=RK+Yadav&author=UK+Addepalli&author=S+Senthil&author=NS+Choudhari&publication_year=2014&hl=en']",24492506,, Begum 2014b {published data only}  ,included,CD008803-bbs2-0007
CD008803-bib-0008,"Benítez-del-Castillo J, Martinez A, Regi T. ",Diagnostic capability of scanning laser polarimetry with and without enhanced corneal compensation and optical coherence tomography, European Journal of Ophthalmology ,2011,21,    ,['citation-journal']," Benítez-del-Castillo J, Martinez A, Regi T. Diagnostic capability of scanning laser polarimetry with and without enhanced corneal compensation and optical coherence tomography.  European Journal of Ophthalmology 2011;21(3):228-36. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.5301/EJO.2010.5586', 'https://www.ncbi.nlm.nih.gov/pubmed/20872357', 'https://scholar.google.com/scholar_lookup?title=Diagnostic+capability+of+scanning+laser+polarimetry+with+and+without+enhanced+corneal+compensation+and+optical+coherence+tomography+&author=J+Benítez-del-Castillo&author=A+Martinez&author=T+Regi&publication_year=2011&hl=en']",20872357,https://doi.org/10.5301/EJO.2010.5586, Benitez‐del‐Castillo 2011 {published data only}  ,included,CD008803-bbs2-0008
CD008803-bib-0009,"Bertuzzi F, Benatti E, Esempio G, Rulli E, Miglior S. ",Evaluation of retinal nerve fiber layer thickness measurements for glaucoma detection: GDx ECC versus spectral-domain OCT, Journal of Glaucoma ,2014,23,    ,['citation-journal']," Bertuzzi F, Benatti E, Esempio G, Rulli E, Miglior S. Evaluation of retinal nerve fiber layer thickness measurements for glaucoma detection: GDx ECC versus spectral-domain OCT.  Journal of Glaucoma 2014;23(4):232-9. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1097/IJG.0b013e3182741afc', 'https://www.ncbi.nlm.nih.gov/pubmed/23970337', 'https://scholar.google.com/scholar_lookup?title=Evaluation+of+retinal+nerve+fiber+layer+thickness+measurements+for+glaucoma+detection:+GDx+ECC+versus+spectral-domain+OCT+&author=F+Bertuzzi&author=E+Benatti&author=G+Esempio&author=E+Rulli&author=S+Miglior&publication_year=2014&hl=en']",23970337,https://doi.org/10.1097/IJG.0b013e3182741afc, Bertuzzi 2014 {published data only}  ,included,CD008803-bbs2-0009
CD008803-bib-0010,"Borque E, Ferreras A, Polo V, Larrosa JM, Pablo LE, Honrubia FM. ",Diagnostic ability of GDx VCC for glaucoma diagnosis, Archivos de la Sociedad Espanola de Oftalmologia ,2008,83,    ,['citation-journal']," Borque E, Ferreras A, Polo V, Larrosa JM, Pablo LE, Honrubia FM. Diagnostic ability of GDx VCC for glaucoma diagnosis.  Archivos de la Sociedad Espanola de Oftalmologia 2008;83(6):357-64. CENTRAL    PubMed     Google Scholar     ","['', 'https://www.ncbi.nlm.nih.gov/pubmed/18521768', 'https://scholar.google.com/scholar_lookup?title=Diagnostic+ability+of+GDx+VCC+for+glaucoma+diagnosis&author=E+Borque&author=A+Ferreras&author=V+Polo&author=JM+Larrosa&author=LE+Pablo&author=FM+Honrubia&publication_year=2008&hl=en']",18521768,, Borque 2008 {published data only}  ,included,CD008803-bbs2-0010
