Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
"1 Pain score at rest, 'early time points' (1 h to 4 h, PACU) Show forest plot",29,1656,"Std. Mean Difference (IV, Random, 95% CI)","‐0.50 [‐0.72, ‐0.28]",Intravenous (IV) lidocaine versus placebo,1,-0.5,-0.72,-0.28,1,,"Pain score at rest, 'early time points' (1 h to 4 h, PACU)",
1.1 open abdominal surgery,8,448,"Std. Mean Difference (IV, Random, 95% CI)","‐0.54 [‐0.82, ‐0.26]",Intravenous (IV) lidocaine versus placebo,1,-0.54,-0.82,-0.26,1,1,"Pain score at rest, 'early time points' (1 h to 4 h, PACU)",open abdominal surgery
1.2 laparoscopic abdominal surgery,10,518,"Std. Mean Difference (IV, Random, 95% CI)","‐0.78 [‐1.34, ‐0.21]",Intravenous (IV) lidocaine versus placebo,1,-0.78,-1.34,-0.21,1,2,"Pain score at rest, 'early time points' (1 h to 4 h, PACU)",laparoscopic abdominal surgery
1.3 other surgery,11,690,"Std. Mean Difference (IV, Random, 95% CI)","‐0.21 [‐0.44, 0.02]",Intravenous (IV) lidocaine versus placebo,1,-0.21,-0.44,0.02,1,3,"Pain score at rest, 'early time points' (1 h to 4 h, PACU)",other surgery
"2 Pain score at rest, 'intermediate time points' (24 h) Show forest plot",33,1847,"Std. Mean Difference (IV, Random, 95% CI)","‐0.14 [‐0.25, ‐0.04]",Intravenous (IV) lidocaine versus placebo,1,-0.14,-0.25,-0.04,2,,"Pain score at rest, 'intermediate time points' (24 h)",
"3 Pain score at rest, 'late time points' (48 h) Show forest plot",24,1404,"Std. Mean Difference (IV, Random, 95% CI)","‐0.11 [‐0.25, 0.04]",Intravenous (IV) lidocaine versus placebo,1,-0.11,-0.25,0.04,3,,"Pain score at rest, 'late time points' (48 h)",
4 Postoperative ileus (dichotomous) Show forest plot,4,273,"Risk Ratio (M‐H, Random, 95% CI)","0.37 [0.15, 0.87]",Intravenous (IV) lidocaine versus placebo,1,0.37,0.15,0.87,4,,Postoperative ileus (dichotomous),
5 Time to first defaecation/bowel movement (h) Show forest plot,12,684,"Mean Difference (IV, Random, 95% CI)","‐7.92 [‐12.71, ‐3.13]",Intravenous (IV) lidocaine versus placebo,1,-7.92,-12.71,-3.13,5,,Time to first defaecation/bowel movement (h),
6 Time to first flatus (h) Show forest plot,13,785,"Mean Difference (IV, Random, 95% CI)","‐4.09 [‐6.30, ‐1.87]",Intravenous (IV) lidocaine versus placebo,1,-4.09,-6.3,-1.87,6,,Time to first flatus (h),
7 Time to first bowel sounds (h) Show forest plot,2,110,"Mean Difference (IV, Random, 95% CI)","‐6.08 [‐13.77, 1.60]",Intravenous (IV) lidocaine versus placebo,1,-6.08,-13.77,1.6,7,,Time to first bowel sounds (h),
8 Length of hospital stay (days) Show forest plot,32,2077,"Mean Difference (IV, Random, 95% CI)","‐0.37 [‐0.60, ‐0.15]",Intravenous (IV) lidocaine versus placebo,1,-0.37,-0.6,-0.15,8,,Length of hospital stay (days),
"9 Length of hospital stay (outpatient surgery, mins) Show forest plot",3,191,"Mean Difference (IV, Random, 95% CI)","‐10.81 [‐36.93, 15.31]",Intravenous (IV) lidocaine versus placebo,1,-10.81,-36.93,15.31,9,,"Length of hospital stay (outpatient surgery, mins)",
10 Surgical complications ‐ anastomotic leak Show forest plot,3,188,"Risk Ratio (M‐H, Random, 95% CI)","0.61 [0.08, 4.80]",Intravenous (IV) lidocaine versus placebo,1,0.61,0.08,4.8,10,,Surgical complications ‐ anastomotic leak,
11 Surgical complications ‐ bleeding Show forest plot,3,222,"Risk Ratio (M‐H, Random, 95% CI)","1.79 [0.41, 7.89]",Intravenous (IV) lidocaine versus placebo,1,1.79,0.41,7.89,11,,Surgical complications ‐ bleeding,
12 Surgical complications ‐ postoperative infection Show forest plot,5,352,"Risk Ratio (M‐H, Random, 95% CI)","1.64 [0.41, 6.52]",Intravenous (IV) lidocaine versus placebo,1,1.64,0.41,6.52,12,,Surgical complications ‐ postoperative infection,
13 Patient satisfaction Show forest plot,6,306,"Mean Difference (IV, Random, 95% CI)","0.76 [0.46, 1.06]",Intravenous (IV) lidocaine versus placebo,1,0.76,0.46,1.06,13,,Patient satisfaction,
"14 Postoperative nausea, 'early time points' (PACU) Show forest plot",8,511,"Risk Ratio (M‐H, Random, 95% CI)","0.72 [0.53, 0.98]",Intravenous (IV) lidocaine versus placebo,1,0.72,0.53,0.98,14,,"Postoperative nausea, 'early time points' (PACU)",
"15 Postoperative nausea, 'overall' (0 to 24 h, to 48 h, to 72 h) Show forest plot",35,1903,"Risk Ratio (M‐H, Random, 95% CI)","0.78 [0.67, 0.91]",Intravenous (IV) lidocaine versus placebo,1,0.78,0.67,0.91,15,,"Postoperative nausea, 'overall' (0 to 24 h, to 48 h, to 72 h)",
"16 Postoperative vomiting, 'early time points' (PACU) Show forest plot",4,305,"Risk Ratio (M‐H, Random, 95% CI)","0.49 [0.16, 1.48]",Intravenous (IV) lidocaine versus placebo,1,0.49,0.16,1.48,16,,"Postoperative vomiting, 'early time points' (PACU)",
"17 Postoperative vomiting, 'overall' (0 to 24 h, to 48 h, to 72 h) Show forest plot",19,1026,"Risk Ratio (M‐H, Random, 95% CI)","0.83 [0.63, 1.08]",Intravenous (IV) lidocaine versus placebo,1,0.83,0.63,1.08,17,,"Postoperative vomiting, 'overall' (0 to 24 h, to 48 h, to 72 h)",
"18 Intraoperative opioid consumption (MEQ, mg) Show forest plot",18,1116,"Mean Difference (IV, Random, 95% CI)","‐2.14 [‐3.87, ‐0.40]",Intravenous (IV) lidocaine versus placebo,1,-2.14,-3.87,-0.4,18,,"Intraoperative opioid consumption (MEQ, mg)",
