reference_id,authors,title,journal,year,volume,citation_footer,citation_type,citation,urls,pubmed_id,doi,header,reference_type,study_id,exclusion_reason
CD011926-bib-0001,"Briones CR, Villanueva‐Uy ME, Uy HGTI. ",The use of polymerase chain reaction in neonatal candidemia, Pediatric Research ,2003,53,    ,['citation-journal']," Briones CR, Villanueva‐Uy ME, Uy HGTI. The use of polymerase chain reaction in neonatal candidemia.  Pediatric Research 2003;53:396A. CENTRAL    Google Scholar     ","['', 'https://scholar.google.com/scholar_lookup?title=The+use+of+polymerase+chain+reaction+in+neonatal+candidemia&author=CR+Briones&author=ME+Villanueva‐Uy&author=HGTI+Uy&publication_year=2003&hl=en']",,, Briones 2003 {published data only}  ,included,CD011926-bbs2-0001,
CD011926-bib-0002,"Chan KY, Lam HS, Cheung HM, Chan AK, Li K, Fok TF, et al. ",Rapid identification and differentiation of Gram‐negative and Gram‐positive bacterial bloodstream infections by quantitative polymerase chain reaction in preterm infants, Critical Care Medicine ,2009,37,    ,['citation-journal']," Chan KY, Lam HS, Cheung HM, Chan AK, Li K, Fok TF, et al. Rapid identification and differentiation of Gram‐negative and Gram‐positive bacterial bloodstream infections by quantitative polymerase chain reaction in preterm infants.  Critical Care Medicine 2009;37:2441‐7. [PUBMED: 19531943]CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1097/CCM.0b013e3181a554de', 'https://www.ncbi.nlm.nih.gov/pubmed/19531943', 'https://scholar.google.com/scholar_lookup?title=Rapid+identification+and+differentiation+of+Gram‐negative+and+Gram‐positive+bacterial+bloodstream+infections+by+quantitative+polymerase+chain+reaction+in+preterm+infants+&author=KY+Chan&author=HS+Lam&author=HM+Cheung&author=AK+Chan&author=K+Li&author=TF+Fok&publication_year=2009&hl=en']",19531943,https://doi.org/10.1097/CCM.0b013e3181a554de, Chan 2009 {published data only}  ,included,CD011926-bbs2-0002,
CD011926-bib-0003,"Chen LH, Duan QJ, Cai MT, Wu YD, Shang SQ. ",Rapid diagnosis of sepsis and bacterial meningitis in children with real‐time fluorescent quantitative polymerase chain reaction amplification in the bacterial 16S rRNA gene, Clinical Pediatrics ,2009,48,    ,['citation-journal']," Chen LH, Duan QJ, Cai MT, Wu YD, Shang SQ. Rapid diagnosis of sepsis and bacterial meningitis in children with real‐time fluorescent quantitative polymerase chain reaction amplification in the bacterial 16S rRNA gene.  Clinical Pediatrics 2009;48(6):641‐7. [PUBMED: 19407210]CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1177/0009922809333972', 'https://www.ncbi.nlm.nih.gov/pubmed/19407210', 'https://scholar.google.com/scholar_lookup?title=Rapid+diagnosis+of+sepsis+and+bacterial+meningitis+in+children+with+real‐time+fluorescent+quantitative+polymerase+chain+reaction+amplification+in+the+bacterial+16S+rRNA+gene+&author=LH+Chen&author=QJ+Duan&author=MT+Cai&author=YD+Wu&author=SQ+Shang&publication_year=2009&hl=en']",19407210,https://doi.org/10.1177/0009922809333972, Chen 2009 {published data only}  ,included,CD011926-bbs2-0003,
CD011926-bib-0004,"Draz NI, Taha SE, Abou Shady NM, Abdel Ghany YS. ",Comparison of broad range 16S rDNA PCR to conventional blood culture for diagnosis of sepsis in the newborn, Egyptian Journal of Human Medical Genetics ,2013,14,    ,['citation-journal']," Draz NI, Taha SE, Abou Shady NM, Abdel Ghany YS. Comparison of broad range 16S rDNA PCR to conventional blood culture for diagnosis of sepsis in the newborn.  Egyptian Journal of Human Medical Genetics 2013;14:403‐11. [PUBMED: 19152691]CENTRAL    Link to article     Google Scholar     ","['', 'https://doi.org/10.1016/j.ejmhg.2013.05.004', 'https://scholar.google.com/scholar_lookup?title=Comparison+of+broad+range+16S+rDNA+PCR+to+conventional+blood+culture+for+diagnosis+of+sepsis+in+the+newborn+&author=NI+Draz&author=SE+Taha&author=NM+AbouShady&author=YS+AbdelGhany&publication_year=2013&hl=en']",19152691,https://doi.org/10.1016/j.ejmhg.2013.05.004, Draz 2013 {published data only}  ,included,CD011926-bbs2-0004,
CD011926-bib-0005,"Dutta S, Narang A, Chakraborty A, Ray P. ",Diagnosis of neonatal sepsis using universal primer polymerase chain reaction before and after starting antibiotic drug therapy, Archives of Pediatrics and Adolescent Medicine ,2009,163,    ,['citation-journal']," Dutta S, Narang A, Chakraborty A, Ray P. Diagnosis of neonatal sepsis using universal primer polymerase chain reaction before and after starting antibiotic drug therapy.  Archives of Pediatrics and Adolescent Medicine 2009;163(1):6‐11. [PUBMED: 19124696]CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1001/archpediatrics.2008.513', 'https://www.ncbi.nlm.nih.gov/pubmed/19124696', 'https://scholar.google.com/scholar_lookup?title=Diagnosis+of+neonatal+sepsis+using+universal+primer+polymerase+chain+reaction+before+and+after+starting+antibiotic+drug+therapy+&author=S+Dutta&author=A+Narang&author=A+Chakraborty&author=P+Ray&publication_year=2009&hl=en']",19124696,https://doi.org/10.1001/archpediatrics.2008.513, Dutta 2009 {published data only}  ,included,CD011926-bbs2-0005,
CD011926-bib-0006,"Enomoto M, Morioka I, Morisawa T, Yokoyama N, Matsuo M. ",A novel diagnostic tool for detecting neonatal infections using multiplex polymerase chain reaction, Neonatology ,2009,96,    ,['citation-journal']," Enomoto M, Morioka I, Morisawa T, Yokoyama N, Matsuo M. A novel diagnostic tool for detecting neonatal infections using multiplex polymerase chain reaction.  Neonatology 2009;96(2):102‐8. [PUBMED: 19279393]CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1159/000208791', 'https://www.ncbi.nlm.nih.gov/pubmed/19279393', 'https://scholar.google.com/scholar_lookup?title=A+novel+diagnostic+tool+for+detecting+neonatal+infections+using+multiplex+polymerase+chain+reaction+&author=M+Enomoto&author=I+Morioka&author=T+Morisawa&author=N+Yokoyama&author=M+Matsuo&publication_year=2009&hl=en']",19279393,https://doi.org/10.1159/000208791, Enomoto 2009 {published data only}  ,included,CD011926-bbs2-0006,
CD011926-bib-0007,"Esparcia O, Montemayor M, Ginovart G, Pomar V, Soriano G, Pericas R, et al. ","Diagnostic accuracy of a 16S ribosomal DNA gene‐based molecular technique (RT‐PCR, microarray, and sequencing) for bacterial meningitis, early‐onset neonatal sepsis, and spontaneous bacterial peritonitis", Diagnostic Microbiology and Infectious Disease ,2011,69,    ,['citation-journal']," Esparcia O, Montemayor M, Ginovart G, Pomar V, Soriano G, Pericas R, et al. Diagnostic accuracy of a 16S ribosomal DNA gene‐based molecular technique (RT‐PCR, microarray, and sequencing) for bacterial meningitis, early‐onset neonatal sepsis, and spontaneous bacterial peritonitis.  Diagnostic Microbiology and Infectious Disease 2011;69(2):153‐60. [PUBMED: 21251558]CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1016/j.diagmicrobio.2010.10.022', 'https://www.ncbi.nlm.nih.gov/pubmed/21251558', 'https://scholar.google.com/scholar_lookup?title=Diagnostic+accuracy+of+a+16S+ribosomal+DNA+gene‐based+molecular+technique+(RT‐PCR,+microarray,+and+sequencing)+for+bacterial+meningitis,+early‐onset+neonatal+sepsis,+and+spontaneous+bacterial+peritonitis+&author=O+Esparcia&author=M+Montemayor&author=G+Ginovart&author=V+Pomar&author=G+Soriano&author=R+Pericas&publication_year=2011&hl=en']",21251558,https://doi.org/10.1016/j.diagmicrobio.2010.10.022, Esparcia 2011 {published data only}  ,included,CD011926-bbs2-0007,
CD011926-bib-0008,"Fujimori M, Hisata K, Nagata S, Matsunaga N, Komatsu M, Shoji H, et al. ",Efficacy of bacterial ribosomal RNA‐targeted reverse transcription‐quantitative PCR for detecting neonatal sepsis: a case control study, BMC Pediatrics ,2010,10,    ,['citation-journal']," Fujimori M, Hisata K, Nagata S, Matsunaga N, Komatsu M, Shoji H, et al. Efficacy of bacterial ribosomal RNA‐targeted reverse transcription‐quantitative PCR for detecting neonatal sepsis: a case control study.  BMC Pediatrics 2010;10:53. [PUBMED: 20667142]CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1186/1471-2431-10-53', 'https://www.ncbi.nlm.nih.gov/pubmed/20667142', 'https://scholar.google.com/scholar_lookup?title=Efficacy+of+bacterial+ribosomal+RNA‐targeted+reverse+transcription‐quantitative+PCR+for+detecting+neonatal+sepsis:+a+case+control+study+&author=M+Fujimori&author=K+Hisata&author=S+Nagata&author=N+Matsunaga&author=M+Komatsu&author=H+Shoji&publication_year=2010&hl=en']",20667142,https://doi.org/10.1186/1471-2431-10-53, Fujimori 2010 {published data only}  ,included,CD011926-bbs2-0008,
CD011926-bib-0009,"Garcia‐Elorriaga G, Cortes‐Torres N, Ballesteros‐Del‐Olmo JC, Del Rey‐Pineda G, Gonzaez‐Bonilla C. ",The usefulness of the buffy coat smear and panbacterial polymerase chain reaction in early diagnosis of neonatal sepsis, Revista de Investigacion Clinica ,2012,64,    ,['citation-journal']," Garcia‐Elorriaga G, Cortes‐Torres N, Ballesteros‐Del‐Olmo JC, Del Rey‐Pineda G, Gonzaez‐Bonilla C. The usefulness of the buffy coat smear and panbacterial polymerase chain reaction in early diagnosis of neonatal sepsis.  Revista de Investigacion Clinica 2012;64(3):275‐83. [PUBMED: 23045950]CENTRAL    PubMed     Google Scholar     ","['', 'https://www.ncbi.nlm.nih.gov/pubmed/23045950', 'https://scholar.google.com/scholar_lookup?title=The+usefulness+of+the+buffy+coat+smear+and+panbacterial+polymerase+chain+reaction+in+early+diagnosis+of+neonatal+sepsis+&author=G+Garcia‐Elorriaga&author=N+Cortes‐Torres&author=JC+Ballesteros‐Del‐Olmo&author=G+Rey‐Pineda&author=C+Gonzaez‐Bonilla&publication_year=2012&hl=en']",23045950,, Garcia‐Elorriaga 2012 {published data only}  ,included,CD011926-bbs2-0009,
CD011926-bib-0010,"Ibarra JO, Valdez PT, Mendez EV, Rojas AL, Flores GL, Bocanegra AC, et al. ",Evaluation of the Light‐Cycler® SeptiFast Test in newborns with suspicion of nosocomial sepsis, Iran Journal of Pediatrics ,2015,25,    ,['citation-journal']," Ibarra JO, Valdez PT, Mendez EV, Rojas AL, Flores GL, Bocanegra AC, et al. Evaluation of the Light‐Cycler® SeptiFast Test in newborns with suspicion of nosocomial sepsis.  Iran Journal of Pediatrics 2015;25(1):e253. [PUBMED: 26199693]CENTRAL    Google Scholar     ","['', 'https://scholar.google.com/scholar_lookup?title=Evaluation+of+the+Light‐Cycler®+SeptiFast+Test+in+newborns+with+suspicion+of+nosocomial+sepsis+&author=JO+Ibarra&author=PT+Valdez&author=EV+Mendez&author=AL+Rojas&author=GL+Flores&author=AC+Bocanegra&publication_year=2015&hl=en']",26199693,, Ibarra 2015 {published data only}  ,included,CD011926-bbs2-0010,
