reference_id,authors,title,journal,year,volume,citation_footer,citation_type,citation,urls,pubmed_id,doi,header,reference_type,study_id,exclusion_reason
CD009185-bib-0001,"Ansari Gilani K, Modaresi Esfeh J, Gholamrezanezhad A, Gholami A, Mamishi S, Eftekhari M, et al. ",Predictors of abnormal renal cortical scintigraphy in children with first urinary tract infection: the importance of time factor, International Urology & Nephrology ,2010,42,    ,['citation-journal']," Ansari Gilani K, Modaresi Esfeh J, Gholamrezanezhad A, Gholami A, Mamishi S, Eftekhari M, et al. Predictors of abnormal renal cortical scintigraphy in children with first urinary tract infection: the importance of time factor.  International Urology & Nephrology 2010;42(4):1041-7. CENTRAL [MEDLINE: 19798584] [2819452]    Link to article     Google Scholar     ","['', 'https://doi.org/10.1007/s11255-009-9650-x', 'https://scholar.google.com/scholar_lookup?title=Predictors+of+abnormal+renal+cortical+scintigraphy+in+children+with+first+urinary+tract+infection:+the+importance+of+time+factor+&author=K+AnsariGilani&author=J+ModaresiEsfeh&author=A+Gholamrezanezhad&author=A+Gholami&author=S+Mamishi&author=M+Eftekhari&publication_year=2010&hl=en']",,https://doi.org/10.1007/s11255-009-9650-x, Ansari Gilani 2010 {published data only}  ,included,CD009185-bbs2-0001,
CD009185-bib-0002,"Barati L, Safaeian B, Mehrjerdian, Vakili MA. ",Early prediction of renal parenchymal injury with serum procalcitonin, Journal of Renal Injury Prevention ,2016,5,    ,['citation-journal']," Barati L, Safaeian B, Mehrjerdian, Vakili MA. Early prediction of renal parenchymal injury with serum procalcitonin.  Journal of Renal Injury Prevention 2016;5(3):108-11. CENTRAL [MEDLINE: 27689104]    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.15171/jrip.2016.23', 'https://www.ncbi.nlm.nih.gov/pubmed/27689104', 'https://scholar.google.com/scholar_lookup?title=Early+prediction+of+renal+parenchymal+injury+with+serum+procalcitonin&author=L+Barati&author=B+Safaeian&author=MA+Vakili&publication_year=2016&hl=en']",27689104,https://doi.org/10.15171/jrip.2016.23, Barati 2016 {published data only}  ,included,CD009185-bbs2-0002,
CD009185-bib-0003,"Benador D, Benador N, Slosman D, Mermillod B, Girardin E. ",Are younger children at highest risk of renal sequelae after pyelonephritis?, Lancet ,1997,349,    ,['citation-journal']," Benador D, Benador N, Slosman D, Mermillod B, Girardin E. Are younger children at highest risk of renal sequelae after pyelonephritis? Lancet 1997;349(9044):17-9. CENTRAL [MEDLINE: 8988117]    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1016/S0140-6736(96)06126-0', 'https://www.ncbi.nlm.nih.gov/pubmed/8988117', 'https://scholar.google.com/scholar_lookup?title=Are+younger+children+at+highest+risk+of+renal+sequelae+after+pyelonephritis?&author=D+Benador&author=N+Benador&author=D+Slosman&author=B+Mermillod&author=E+Girardin&publication_year=1997&hl=en']",8988117,https://doi.org/10.1016/S0140-6736(96)06126-0, Benador 1997 {published and unpublished data}  ,included,CD009185-bbs2-0003,
CD009185-bib-0004,"Girardin E, Benador N, Gendrel D, Greder C, Benador D, Bohuon C, et al. ",Procalcitonin is a marker of severity of renal lesions in pyelonephritis [abstract], Journal of the American Society of Nephrology ,1997,9,    ,['citation-journal']," Girardin E, Benador N, Gendrel D, Greder C, Benador D, Bohuon C, et al. Procalcitonin is a marker of severity of renal lesions in pyelonephritis [abstract].  Journal of the American Society of Nephrology 1997;9(Program & Abstracts Issue):125A. CENTRAL [BIOSIS Previews: PREV199800022706]    Google Scholar     ","['', 'https://scholar.google.com/scholar_lookup?title=Procalcitonin+is+a+marker+of+severity+of+renal+lesions+in+pyelonephritis+[abstract]&author=E+Girardin&author=N+Benador&author=D+Gendrel&author=C+Greder&author=D+Benador&author=C+Bohuon&publication_year=1997&hl=en']",,, Benador 1997 {published and unpublished data}  ,included,CD009185-bbs2-0003,
CD009185-bib-0005,"Biggi A, Dardanelli L, Pomero G, Cussino P, Noello C, Sernia O, et al. ",Acute renal cortical scintigraphy in children with a first urinary tract infection, Pediatric Nephrology ,2001,16,    ,['citation-journal']," Biggi A, Dardanelli L, Pomero G, Cussino P, Noello C, Sernia O, et al. Acute renal cortical scintigraphy in children with a first urinary tract infection.  Pediatric Nephrology 2001;16(9):733-8. CENTRAL [MEDLINE: 11511988]    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1007/s004670100657', 'https://www.ncbi.nlm.nih.gov/pubmed/11511988', 'https://scholar.google.com/scholar_lookup?title=Acute+renal+cortical+scintigraphy+in+children+with+a+first+urinary+tract+infection&author=A+Biggi&author=L+Dardanelli&author=G+Pomero&author=P+Cussino&author=C+Noello&author=O+Sernia&publication_year=2001&hl=en']",11511988,https://doi.org/10.1007/s004670100657, Biggi 2001 {published data only}  ,included,CD009185-bbs2-0004,
CD009185-bib-0006,"Bigot S, Leblond P, Foucher C, Hue V, D'Herbomez M, Foulard M. ",Usefulness of procalcitonin for the diagnosis of acute pyelonephritis in children, Archives de Pédiatrie ,2005,12,    ,['citation-journal']," Bigot S, Leblond P, Foucher C, Hue V, D'Herbomez M, Foulard M. Usefulness of procalcitonin for the diagnosis of acute pyelonephritis in children [Apport du dosage de la procalcitonine pour le diagnostic de pyélonéphrite aiguë de l'enfant].  Archives de Pédiatrie 2005;12(7):1075-80. CENTRAL [MEDLINE: 15893462]    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1016/j.arcped.2005.03.058', 'https://www.ncbi.nlm.nih.gov/pubmed/15893462', ""https://scholar.google.com/scholar_lookup?title=Usefulness+of+procalcitonin+for+the+diagnosis+of+acute+pyelonephritis+in+children&author=S+Bigot&author=P+Leblond&author=C+Foucher&author=V+Hue&author=M+D'Herbomez&author=M+Foulard&publication_year=2005&hl=en""]",15893462,https://doi.org/10.1016/j.arcped.2005.03.058, Bigot 2005 {published data only}  ,included,CD009185-bbs2-0005,
CD009185-bib-0007,"Bouguila J, Khalef I, Charfeddine B, Ben Rejeb M, Chatti K, Limam K et al. ",Comparative study of C-reactive protein and procalcitonin in the severity diagnosis of pyelonephritis in children, Pathologie Biologie ,2013,61,    ,['citation-journal']," Bouguila J, Khalef I, Charfeddine B, Ben Rejeb M, Chatti K, Limam K et al. Comparative study of C-reactive protein and procalcitonin in the severity diagnosis of pyelonephritis in children [Etude comparative de la proteine C-reactive et de la procalcitonine dans lediagnostic de severite des pyelonephrites aigues de l’enfant].  Pathologie Biologie 2013;61(3):93-98. CENTRAL [MEDLINE: 23481452]    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1016/j.patbio.2013.01.010', 'https://www.ncbi.nlm.nih.gov/pubmed/23481452', 'https://scholar.google.com/scholar_lookup?title=Comparative+study+of+C-reactive+protein+and+procalcitonin+in+the+severity+diagnosis+of+pyelonephritis+in+children+&author=J+Bouguila&author=I+Khalef&author=B+Charfeddine&author=M+BenRejeb&author=K+Chatti&publication_year=2013&hl=en']",23481452,https://doi.org/10.1016/j.patbio.2013.01.010, Bouguila 2013 {published data only}  ,included,CD009185-bbs2-0006,
CD009185-bib-0008,"Bressan S, Andreola B, Zucchetta P, Montini G, Burei M, Perilongo G, et al. ",Procalcitonin as a predictor of renal scarring in infants and young children, Pediatric Nephrology ,2009,24,    ,['citation-journal']," Bressan S, Andreola B, Zucchetta P, Montini G, Burei M, Perilongo G, et al. Procalcitonin as a predictor of renal scarring in infants and young children.  Pediatric Nephrology 2009;24(6):1199-204. CENTRAL [MEDLINE: 19205751]    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1007/s00467-009-1125-x', 'https://www.ncbi.nlm.nih.gov/pubmed/19205751', 'https://scholar.google.com/scholar_lookup?title=Procalcitonin+as+a+predictor+of+renal+scarring+in+infants+and+young+children&author=S+Bressan&author=B+Andreola&author=P+Zucchetta&author=G+Montini&author=M+Burei&author=G+Perilongo&publication_year=2009&hl=en']",19205751,https://doi.org/10.1007/s00467-009-1125-x, Bressan 2009 {published and unpublished data}  ,included,CD009185-bbs2-0007,
CD009185-bib-0009,"Chen SM, Chang HM, Hung TW, Chao YH, Tsai JD, Lue KH, et al. ",Diagnostic performance of procalcitonin for hospitalised children with acute pyelonephritis presenting to the paediatric emergency department, Emergency Medicine Journal ,2013,30,    ,['citation-journal']," Chen SM, Chang HM, Hung TW, Chao YH, Tsai JD, Lue KH, et al. Diagnostic performance of procalcitonin for hospitalised children with acute pyelonephritis presenting to the paediatric emergency department.  Emergency Medicine Journal 2013;30(5):406-410. CENTRAL [MEDLINE: 22645218]    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1136/emermed-2011-200808', 'https://www.ncbi.nlm.nih.gov/pubmed/22645218', 'https://scholar.google.com/scholar_lookup?title=Diagnostic+performance+of+procalcitonin+for+hospitalised+children+with+acute+pyelonephritis+presenting+to+the+paediatric+emergency+department+&author=SM+Chen&author=HM+Chang&author=TW+Hung&author=YH+Chao&author=JD+Tsai&author=KH+Lue&publication_year=2013&hl=en']",22645218,https://doi.org/10.1136/emermed-2011-200808, Chen 2013 {published data only}  ,included,CD009185-bbs2-0008,
CD009185-bib-0010,"Donoso G, Lobo G, Arnello F, Arteaga MP, Hevia P, Rosati P, et al. ","Tc 99M DMSA scintigraphy in children with a first episode of acute pyelonephritis: correlation with laboratory tests, echography and the presence of vesico-ureteral reflux", Revista Medica de Chile ,2004,132,    ,['citation-journal']," Donoso G, Lobo G, Arnello F, Arteaga MP, Hevia P, Rosati P, et al. Tc 99M DMSA scintigraphy in children with a first episode of acute pyelonephritis: correlation with laboratory tests, echography and the presence of vesico-ureteral reflux [Cintigrama renal DMSA en ninos con primera pielonefritis aguda: correlacion con examenes de laboratorio, ecografia y la presencia de reflujo vesico ureteral].  Revista Medica de Chile 2004;132(1):58-64. CENTRAL [MEDLINE: 15379054]    PubMed     Google Scholar     ","['', 'https://www.ncbi.nlm.nih.gov/pubmed/15379054', 'https://scholar.google.com/scholar_lookup?title=Tc+99M+DMSA+scintigraphy+in+children+with+a+first+episode+of+acute+pyelonephritis:+correlation+with+laboratory+tests,+echography+and+the+presence+of+vesico-ureteral+reflux+&author=G+Donoso&author=G+Lobo&author=F+Arnello&author=MP+Arteaga&author=P+Hevia&author=P+Rosati&publication_year=2004&hl=en']",15379054,, Donoso 2004 {published and unpublished data}  ,included,CD009185-bbs2-0009,
