reference_id,authors,title,journal,year,volume,citation_footer,citation_type,citation,urls,pubmed_id,doi,header,reference_type,study_id,exclusion_reason
CD010680-bib-0001,"Vega J, Romani S, Garciperez J, Vicente L, Pacheco N, Zamorano J, et al. ",Peripheral arterial disease: efficacy of the oscillometric method, Revista Espanola De Cardiologia ,2011,64,    ,['citation-journal']," Vega J, Romani S, Garciperez J, Vicente L, Pacheco N, Zamorano J, et al. Peripheral arterial disease: efficacy of the oscillometric method.  Revista Espanola De Cardiologia 2011;64(7):619‐21. CENTRAL    Link to article     Google Scholar     ","['', 'https://doi.org/10.1016/j.recesp.2010.10.019', 'https://scholar.google.com/scholar_lookup?title=Peripheral+arterial+disease:+efficacy+of+the+oscillometric+method&author=J+Vega&author=S+Romani&author=J+Garciperez&author=L+Vicente&author=N+Pacheco&author=J+Zamorano&publication_year=2011&hl=en']",,https://doi.org/10.1016/j.recesp.2010.10.019, Vega 2011 {published data only}  ,included,CD010680-bbs2-0001,
CD010680-bib-0002,"Akhtar B, Siddique S, Khan RA, Zulfiqar S. ",Detection of atherosclerosis by ankle brachial index: evaluation of palpatory method versus ultrasound Doppler technique," Journal of Ayub Medical College, Abbottabad ",2009,21,    ,['citation-journal']," Akhtar B, Siddique S, Khan RA, Zulfiqar S. Detection of atherosclerosis by ankle brachial index: evaluation of palpatory method versus ultrasound Doppler technique.  Journal of Ayub Medical College, Abbottabad 2009;21(1):11‐6. CENTRAL    Google Scholar     ","['', 'https://scholar.google.com/scholar_lookup?title=Detection+of+atherosclerosis+by+ankle+brachial+index:+evaluation+of+palpatory+method+versus+ultrasound+Doppler+technique+&author=B+Akhtar&author=S+Siddique&author=RA+Khan&author=S+Zulfiqar&publication_year=2009&hl=en']",,, Akhtar 2009 {published data only}  ,excluded,CD010680-bbs2-0002," Study did not use duplex ultrasonography nor angiography as reference standard. Case‐control study comparing different techniques for measurement of the ABI (hand‐held doppler ABI vs palpatory ABI) in healthy, high‐risk asymptomatic and known PAD patients  "
CD010680-bib-0003,"Alnaeb ME, Crabtree VP, Boutin A, Mikhailidis DP, Seifalian AM, Hamilton G. ",Prospective assessment of lower‐extremity peripheral arterial disease in diabetic patients using a novel automated optical device, Angiology ,2007,58,    ,['citation-journal']," Alnaeb ME, Crabtree VP, Boutin A, Mikhailidis DP, Seifalian AM, Hamilton G. Prospective assessment of lower‐extremity peripheral arterial disease in diabetic patients using a novel automated optical device.  Angiology 2007;58(5):579. CENTRAL    Link to article     Google Scholar     ","['', 'https://doi.org/10.1177/0003319707305685', 'https://scholar.google.com/scholar_lookup?title=Prospective+assessment+of+lower‐extremity+peripheral+arterial+disease+in+diabetic+patients+using+a+novel+automated+optical+device+&author=ME+Alnaeb&author=VP+Crabtree&author=A+Boutin&author=DP+Mikhailidis&author=AM+Seifalian&author=G+Hamilton&publication_year=2007&hl=en']",,https://doi.org/10.1177/0003319707305685, Alnaeb 2007 {published data only}  ,excluded,CD010680-bbs2-0003," Study population not defined as presenting with exertional leg pain. Patients with diabetes, recruited from hospital vascular clinic, and control patients from an orthopaedic outpatient clinic used to compare ABI and photoplethysmography with duplex ultrasonography  "
CD010680-bib-0004,"Alnaeb ME, Boutin A, Crabtree VP, Mikhailidis DP, Seifalian AM, Hamilton G. ",Assessment of lower extremity peripheral arterial disease using a novel automated optical device, Vascular and Endovascular Surgery ,2008,41,    ,['citation-journal']," Alnaeb ME, Boutin A, Crabtree VP, Mikhailidis DP, Seifalian AM, Hamilton G. Assessment of lower extremity peripheral arterial disease using a novel automated optical device.  Vascular and Endovascular Surgery 2008;41(6):522‐7. CENTRAL    Link to article     Google Scholar     ","['', 'https://doi.org/10.1177/1538574407305092', 'https://scholar.google.com/scholar_lookup?title=Assessment+of+lower+extremity+peripheral+arterial+disease+using+a+novel+automated+optical+device+&author=ME+Alnaeb&author=A+Boutin&author=VP+Crabtree&author=DP+Mikhailidis&author=AM+Seifalian&author=G+Hamilton&publication_year=2008&hl=en']",,https://doi.org/10.1177/1538574407305092, Alnaeb 2008 {published data only}  ,excluded,CD010680-bbs2-0004, Study population not defined as presenting with exertional leg pain. PAD and non‐PAD patients recruited from vascular outpatient clinic for comparison of ABI and photoplethysmography with duplex ultrasonography  
CD010680-bib-0005,"Armstrong DWJ, Tobin C, Matangi MF. ",The accuracy of the physical examination for the detection of lower extremity peripheral arterial disease, Canadian Journal of Cardiology ,2010,26,    ,['citation-journal']," Armstrong DWJ, Tobin C, Matangi MF. The accuracy of the physical examination for the detection of lower extremity peripheral arterial disease.  Canadian Journal of Cardiology 2010;26(10):e346‐50. CENTRAL    Link to article     Google Scholar     ","['', 'https://doi.org/10.1016/S0828-282X(10)70467-0', 'https://scholar.google.com/scholar_lookup?title=The+accuracy+of+the+physical+examination+for+the+detection+of+lower+extremity+peripheral+arterial+disease+&author=DWJ+Armstrong&author=C+Tobin&author=MF+Matangi&publication_year=2010&hl=en']",,https://doi.org/10.1016/S0828-282X(10)70467-0, Armstrong 2010 {published data only}  ,excluded,CD010680-bbs2-0005, Study did not use duplex ultrasonography nor angiography as reference standard. Study comparing physical examination with ABI in people suspected of having or at high risk for PAD  
CD010680-bib-0006,"Baxter GM, Polak JF. ",Lower limb colour flow imaging: a comparison with ankle:brachial measurements and angiography, Clinical Radiology ,1993,47,    ,['citation-journal']," Baxter GM, Polak JF. Lower limb colour flow imaging: a comparison with ankle:brachial measurements and angiography.  Clinical Radiology 1993;47:91‐5. CENTRAL    Link to article     Google Scholar     ","['', 'https://doi.org/10.1016/S0009-9260(05)81179-1', 'https://scholar.google.com/scholar_lookup?title=Lower+limb+colour+flow+imaging:+a+comparison+with+ankle:brachial+measurements+and+angiography+&author=GM+Baxter&author=JF+Polak&publication_year=1993&hl=en']",,https://doi.org/10.1016/S0009-9260(05)81179-1, Baxter 1993 {published data only}  ,excluded,CD010680-bbs2-0006," Study population not selected owing to exertional leg pain. Patients with lower limb claudication, rest pain or cellulitis assessed with ABI, colour doppler ultrasonography and arteriography. Separate data for claudication population sought from study author, who replied that data were not available  "
CD010680-bib-0007,"Beckman JA, Higgins CO, Gerhard‐Herman M. ",Automated oscillometric determination of the ankle‐brachial index provides accuracy necessary for office practice, Hypertension ,2005,47,    ,['citation-journal']," Beckman JA, Higgins CO, Gerhard‐Herman M. Automated oscillometric determination of the ankle‐brachial index provides accuracy necessary for office practice.  Hypertension 2005;47:35‐8. CENTRAL    Google Scholar     ","['', 'https://scholar.google.com/scholar_lookup?title=Automated+oscillometric+determination+of+the+ankle‐brachial+index+provides+accuracy+necessary+for+office+practice+&author=JA+Beckman&author=CO+Higgins&author=M+Gerhard‐Herman&publication_year=2005&hl=en']",,, Beckman 2005 {published data only}  ,excluded,CD010680-bbs2-0007, Study did not use duplex ultrasonography nor angiography as reference standard. Comparison of 2 different types of ABI (oscillometric and continuous wave doppler ultrasonography) in participants referred to lab for evaluation of PAD  
CD010680-bib-0008,"Benchimol D, Pillois X, Benchimol A, Houitte A, Sagardiluz P, Tortelier L, et al. ",Accuracy of ankle‐brachial index using an automatic blood pressure device to detect peripheral artery disease in preventive medicine, Archives of Cardiovascular Diseases ,2009,102,    ,['citation-journal']," Benchimol D, Pillois X, Benchimol A, Houitte A, Sagardiluz P, Tortelier L, et al. Accuracy of ankle‐brachial index using an automatic blood pressure device to detect peripheral artery disease in preventive medicine.  Archives of Cardiovascular Diseases 2009;102:519‐24. CENTRAL    Link to article     Google Scholar     ","['', 'https://doi.org/10.1016/j.acvd.2009.03.011', 'https://scholar.google.com/scholar_lookup?title=Accuracy+of+ankle‐brachial+index+using+an+automatic+blood+pressure+device+to+detect+peripheral+artery+disease+in+preventive+medicine+&author=D+Benchimol&author=X+Pillois&author=A+Benchimol&author=A+Houitte&author=P+Sagardiluz&author=L+Tortelier&publication_year=2009&hl=en']",,https://doi.org/10.1016/j.acvd.2009.03.011, Benchimol 2009 {published data only}  ,excluded,CD010680-bbs2-0008, Study did not use duplex ultrasonography nor angiography as reference standard. Comparison of ABI measuring methods (automated vs doppler ultrasonography) in participants recruited by physicians in preventive medicine attending annual check‐up  
CD010680-bib-0009,"Beutner F, Teren A, Gielen S, Schuler G, Wirkner K, Tiller D, et al. ",Automated photoplethysmography‐based determination of ankle‐brachial: a validation study against doppler sonography, Clinical Research in Cardiology ,2012,101,    ,['citation-journal']," Beutner F, Teren A, Gielen S, Schuler G, Wirkner K, Tiller D, et al. Automated photoplethysmography‐based determination of ankle‐brachial: a validation study against doppler sonography.  Clinical Research in Cardiology 2012;101:875‐83. CENTRAL    Link to article     Google Scholar     ","['', 'https://doi.org/10.1007/s00392-012-0471-z', 'https://scholar.google.com/scholar_lookup?title=Automated+photoplethysmography‐based+determination+of+ankle‐brachial:+a+validation+study+against+doppler+sonography+&author=F+Beutner&author=A+Teren&author=S+Gielen&author=G+Schuler&author=K+Wirkner&author=D+Tiller&publication_year=2012&hl=en']",,https://doi.org/10.1007/s00392-012-0471-z, Beutner 2012 {published data only}  ,excluded,CD010680-bbs2-0009, Study did not use duplex ultrasonography nor angiography as reference standard. Study compared 2 different ABI measurement methods in healthy participants and in participants with confirmed lower limb PAD before revascularisation  
CD010680-bib-0010,"Bogomolov MS, Sedov VM, Slobodianiuk VV. ",Reliability of doppler examination and measurement of ABI for diagnostic peripheral arterial disease, Khirurglia ,2012,9,    ,['citation-journal']," Bogomolov MS, Sedov VM, Slobodianiuk VV. Reliability of doppler examination and measurement of ABI for diagnostic peripheral arterial disease.  Khirurglia 2012;9:78‐81. CENTRAL    Google Scholar     ","['', 'https://scholar.google.com/scholar_lookup?title=Reliability+of+doppler+examination+and+measurement+of+ABI+for+diagnostic+peripheral+arterial+disease+&author=MS+Bogomolov&author=VM+Sedov&author=VV+Slobodianiuk&publication_year=2012&hl=en']",,, Bogomolov 2012 {published data only}  ,excluded,CD010680-bbs2-0010, Study did not use duplex ultrasonography nor angiography as reference standard. Unclear whether study population was selected for exertional leg pain. Study performed ABI and doppler examination in people with and without diabetes  
