Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,outcome_id,subgroup_id,outcome_name,subgroup_name,effect_size,lower_ci,upper_ci
1 Any serious adverse events Show forest plot,2,72005,"Risk Ratio (IV, Random, 95% CI)","1.36 [1.17, 1.57]",Comparative studies: number of serious adverse events,1,1,,Any serious adverse events,,,,
2 Central nervous system Show forest plot,2,,"Risk Ratio (IV, Random, 95% CI)",Subtotals only,Comparative studies: number of serious adverse events,1,2,,Central nervous system,,,,
2.1 Seizures,1,234,"Risk Ratio (IV, Random, 95% CI)","1.31 [0.07, 23.74]",Comparative studies: number of serious adverse events,1,2,1,Central nervous system,Seizures,,,
2.2 Psychotic disorder,1,71771,"Risk Ratio (IV, Random, 95% CI)","1.36 [1.17, 1.57]",Comparative studies: number of serious adverse events,1,2,2,Central nervous system,Psychotic disorder,,,
3 Cardiovascular and respiratory system Show forest plot,,,Other data,No numeric data,Comparative studies: number of serious adverse events,1,3,,Cardiovascular and respiratory system,,,,
Study,,,,,Comparative studies: number of serious adverse events,1,Study,,,,,,
Arrhythmias,Arrhythmias,,,,Comparative studies: number of serious adverse events,1,Arrhythmias,,,,,,
Shin 2016,RR 1.61 (95% CI 1.48 to 1.74),,,,Comparative studies: number of serious adverse events,1,Shin,,,,,,
Hypertension,Hypertension,,,,Comparative studies: number of serious adverse events,1,Hypertension,,,,,,
Shin 2016,RR 1.07 (95% CI 0.94 to 1.22),,,,Comparative studies: number of serious adverse events,1,Shin,,,,,,
Myocardial infarction,Myocardial infarction,,,,Comparative studies: number of serious adverse events,1,Myocardial,,,,,,
Shin 2016,RR 1.33 (95% CI 0.90 to 1.98),,,,Comparative studies: number of serious adverse events,1,Shin,,,,,,
Ischaemic stroke,Ischaemic stroke,,,,Comparative studies: number of serious adverse events,1,Ischaemic,,,,,,
Shin 2016,RR 0.70 (95% CI 0.49 to 1.01),,,,Comparative studies: number of serious adverse events,1,Shin,,,,,,
Heart failure,Heart failure,,,,Comparative studies: number of serious adverse events,1,Heart,,,,,,
Shin 2016,RR 0.54 (95% CI 0.30 to 0.96),,,,Comparative studies: number of serious adverse events,1,Shin,,,,,,
3.1 Arrhythmias,,,Other data,No numeric data,Comparative studies: number of serious adverse events,1,3,1,,Arrhythmias,,,
3.2 Hypertension,,,Other data,No numeric data,Comparative studies: number of serious adverse events,1,3,2,,Hypertension,,,
3.3 Myocardial infarction,,,Other data,No numeric data,Comparative studies: number of serious adverse events,1,3,3,,Myocardial infarction,,,
3.4 Ischaemic stroke,,,Other data,No numeric data,Comparative studies: number of serious adverse events,1,3,4,,Ischaemic stroke,,,
3.5 Heart failure,,,Other data,No numeric data,Comparative studies: number of serious adverse events,1,3,5,,Heart failure,,,
1 Central nervous system: sleep‐related adverse events Show forest plot,3,,"Risk Ratio (IV, Random, 95% CI)",Subtotals only,Comparative studies: number of participants with non‐serious adverse events,3,1,,Central nervous system: sleep‐related adverse events,,,,
1.1 Insomnia and sleep problems,3,425,"Risk Ratio (IV, Random, 95% CI)","2.58 [1.24, 5.34]",Comparative studies: number of participants with non‐serious adverse events,3,1,1,Central nervous system: sleep‐related adverse events,Insomnia and sleep problems,2.58,1.24,5.34
1.2 Nightmares,1,23,"Risk Ratio (IV, Random, 95% CI)","1.15 [0.41, 3.21]",Comparative studies: number of participants with non‐serious adverse events,3,1,2,Central nervous system: sleep‐related adverse events,Nightmares,1.15,0.41,3.21
1.3 Snoring,1,23,"Risk Ratio (IV, Random, 95% CI)","4.62 [0.25, 86.72]",Comparative studies: number of participants with non‐serious adverse events,3,1,3,Central nervous system: sleep‐related adverse events,Snoring,4.62,0.25,86.72
1.4 Non‐breathing or gasping while sleeping,1,23,"Risk Ratio (IV, Random, 95% CI)","2.77 [0.12, 61.65]",Comparative studies: number of participants with non‐serious adverse events,3,1,4,Central nervous system: sleep‐related adverse events,Non‐breathing or gasping while sleeping,2.77,0.12,61.65
1.5 Sleepwalking,1,23,"Risk Ratio (IV, Random, 95% CI)","2.75 [0.33, 22.69]",Comparative studies: number of participants with non‐serious adverse events,3,1,5,Central nervous system: sleep‐related adverse events,Sleepwalking,2.75,0.33,22.69
1.6 Various sleep positions,1,23,"Risk Ratio (IV, Random, 95% CI)","2.77 [0.12, 61.65]",Comparative studies: number of participants with non‐serious adverse events,3,1,6,Central nervous system: sleep‐related adverse events,Various sleep positions,2.77,0.12,61.65
1.7 Enuresis,1,23,"Risk Ratio (IV, Random, 95% CI)","4.62 [0.25, 86.72]",Comparative studies: number of participants with non‐serious adverse events,3,1,7,Central nervous system: sleep‐related adverse events,Enuresis,4.62,0.25,86.72
1.8 Talking in sleep,1,23,"Risk Ratio (IV, Random, 95% CI)","0.46 [0.05, 4.38]",Comparative studies: number of participants with non‐serious adverse events,3,1,8,Central nervous system: sleep‐related adverse events,Talking in sleep,0.46,0.05,4.38
2 Central nervous system: other specific sleep‐related adverse events Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Comparative studies: number of participants with non‐serious adverse events,3,2,,Central nervous system: other specific sleep‐related adverse events,,,,
2.1 Number of hours sleep,1,10,"Mean Difference (IV, Random, 95% CI)","‐0.65 [‐1.32, 0.02]",Comparative studies: number of participants with non‐serious adverse events,3,2,1,Central nervous system: other specific sleep‐related adverse events,Number of hours sleep,-0.65,-1.32,0.02
2.2 Number of nocturnal movements,1,10,"Mean Difference (IV, Random, 95% CI)","‐27.84 [‐57.90, 2.22]",Comparative studies: number of participants with non‐serious adverse events,3,2,2,Central nervous system: other specific sleep‐related adverse events,Number of nocturnal movements,-27.84,-57.9,2.22
2.3 Sleep quality,1,10,"Mean Difference (IV, Random, 95% CI)","‐0.20 [‐0.74, 0.34]",Comparative studies: number of participants with non‐serious adverse events,3,2,3,Central nervous system: other specific sleep‐related adverse events,Sleep quality,-0.2,-0.74,0.34
3 Central nervous system: other specific adverse events Show forest plot,1,,"Risk Ratio (IV, Random, 95% CI)",Subtotals only,Comparative studies: number of participants with non‐serious adverse events,3,3,,Central nervous system: other specific adverse events,,,,
3.1 Headache,1,235,"Risk Ratio (IV, Random, 95% CI)","8.13 [0.48, 137.74]",Comparative studies: number of participants with non‐serious adverse events,3,3,1,Central nervous system: other specific adverse events,Headache,8.13,0.48,137.74
3.2 Dizziness,1,335,"Risk Ratio (IV, Random, 95% CI)","4.00 [0.23, 69.27]",Comparative studies: number of participants with non‐serious adverse events,3,3,2,Central nervous system: other specific adverse events,Dizziness,4.0,0.23,69.27
4 Cardiovascular and respiratory system Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Comparative studies: number of participants with non‐serious adverse events,3,4,,Cardiovascular and respiratory system,,,,
4.1 Systolic blood pressure,1,43,"Mean Difference (IV, Random, 95% CI)","0.10 [‐6.27, 6.47]",Comparative studies: number of participants with non‐serious adverse events,3,4,1,Cardiovascular and respiratory system,Systolic blood pressure,0.1,-6.27,6.47
4.2 Diastolic blood pressure,1,43,"Mean Difference (IV, Random, 95% CI)","3.50 [‐1.42, 8.42]",Comparative studies: number of participants with non‐serious adverse events,3,4,2,Cardiovascular and respiratory system,Diastolic blood pressure,3.5,-1.42,8.42
4.3 Pulse rate,1,43,"Mean Difference (IV, Random, 95% CI)","0.60 [‐7.95, 9.15]",Comparative studies: number of participants with non‐serious adverse events,3,4,3,Cardiovascular and respiratory system,Pulse rate,0.6,-7.95,9.15
5 Gastrointestinal system Show forest plot,1,,"Risk Ratio (IV, Random, 95% CI)",Subtotals only,Comparative studies: number of participants with non‐serious adverse events,3,5,,Gastrointestinal system,,,,
5.1 Nausea,1,335,"Risk Ratio (IV, Random, 95% CI)","2.64 [0.34, 20.29]",Comparative studies: number of participants with non‐serious adverse events,3,5,1,Gastrointestinal system,Nausea,2.64,0.34,20.29
5.2 Abdominal pain,1,335,"Risk Ratio (IV, Random, 95% CI)","0.79 [0.16, 3.84]",Comparative studies: number of participants with non‐serious adverse events,3,5,2,Gastrointestinal system,Abdominal pain,0.79,0.16,3.84
5.3 Decreased appetite,1,335,"Risk Ratio (IV, Random, 95% CI)","15.06 [2.12, 106.83]",Comparative studies: number of participants with non‐serious adverse events,3,5,3,Gastrointestinal system,Decreased appetite,15.06,2.12,106.83
6 Musculoskeletal system Show forest plot,2,,"Std. Mean Difference (IV, Random, 95% CI)",Subtotals only,Comparative studies: number of participants with non‐serious adverse events,3,6,,Musculoskeletal system,,,,
6.1 Height,2,93,"Std. Mean Difference (IV, Random, 95% CI)","‐0.93 [‐2.61, 0.75]",Comparative studies: number of participants with non‐serious adverse events,3,6,1,Musculoskeletal system,Height,-0.93,-2.61,0.75
6.2 Weight,2,93,"Std. Mean Difference (IV, Random, 95% CI)","‐0.27 [‐1.16, 0.62]",Comparative studies: number of participants with non‐serious adverse events,3,6,2,Musculoskeletal system,Weight,-0.27,-1.16,0.62
7 Musculoskeletal system: body mass index (BMI) Show forest plot,1,43,"Mean Difference (IV, Random, 95% CI)","‐1.60 [‐2.96, ‐0.24]",Comparative studies: number of participants with non‐serious adverse events,3,7,,Musculoskeletal system: body mass index (BMI),,-1.6,-2.96,-0.24
8 Musculoskeletal system: z scores Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Comparative studies: number of participants with non‐serious adverse events,3,8,,Musculoskeletal system: z scores,,,,
8.1 Height z score,1,275,"Mean Difference (IV, Random, 95% CI)","‐0.19 [‐0.43, 0.05]",Comparative studies: number of participants with non‐serious adverse events,3,8,1,Musculoskeletal system: z scores,Height z score,-0.19,-0.43,0.05
8.2 Weight z score,1,275,"Mean Difference (IV, Random, 95% CI)","‐0.07 [‐0.30, 0.16]",Comparative studies: number of participants with non‐serious adverse events,3,8,2,Musculoskeletal system: z scores,Weight z score,-0.07,-0.3,0.16
8.3 BMI z score,1,275,"Mean Difference (IV, Random, 95% CI)","0.01 [‐0.22, 0.24]",Comparative studies: number of participants with non‐serious adverse events,3,8,3,Musculoskeletal system: z scores,BMI z score,0.01,-0.22,0.24
1 Proportion of participants withdrawn from methylphenidate for unknown reasons Show forest plot,1,,"Risk Ratio (IV, Random, 95% CI)",Totals not selected,Comparative studies: number of participants withdrawn from methylphenidate treatment,4,1,,Proportion of participants withdrawn from methylphenidate for unknown reasons,,,,
1 Any serious adverse event Show forest plot,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,1,,Any serious adverse event,,,,
Study,Symptoms,Adverse events/total number of participants,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Study,,,,,,
Altin 2013,No patients experienced any serious adverse events,0/221,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Altin,,,,,,
Arabgol 2015,Severe anorexia,1/18,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Arabgol,,,,,,
Ardic 2014,Serious adverse events,0/101,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Ardic,,,,,,
Arnold 2004,Serious adverse events,3/89,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Arnold,,,,,,
Arnold 2010,Acute depression and suicide attempt,1/150,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Arnold,,,,,,
Ashkenasi 2011,Hallucinations,1/26,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Ashkenasi,,,,,,
Berek 2011,Serious adverse events,4/822,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Berek,,,,,,
Cherland 1999,Serious adverse events,13/98,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Cherland,,,,,,
Chou 2012b,Serious adverse events,0/230,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Chou,,,,,,
Cortese 2015,Serious adverse events,64/1426,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Cortese,,,,,,
Davari‐Ashtiani 2010,Serious adverse events,0/16,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Davari‐Ashtiani,,,,,,
Dittmann 2014,Serious adverse events,0/247,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Dittmann,,,,,,
"Döpfner 2011a, OBSEER",Serious adverse events,21/777,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Döpfner,,,,,,
Döpfner 2011b,Serious adverse events,38/822,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Döpfner,,,,,,
Findling 2009,Serious adverse events,3/157,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Findling,,,,,,
