Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1 Prostatitis symptoms (NIH‐CPSI total) Show forest plot,3,204,"Mean Difference (IV, Fixed, 95% CI)","‐5.79 [‐7.32, ‐4.26]",Acupuncture versus sham procedure,1,-5.79,-7.32,-4.26,1,,Prostatitis symptoms (NIH‐CPSI total),
1.1 Acupuncture,2,180,"Mean Difference (IV, Fixed, 95% CI)","‐5.71 [‐7.50, ‐3.91]",Acupuncture versus sham procedure,1,-5.71,-7.5,-3.91,1,1,Prostatitis symptoms (NIH‐CPSI total),Acupuncture
1.2 Electroacupuncture,1,24,"Mean Difference (IV, Fixed, 95% CI)","‐6.0 [‐8.92, ‐3.08]",Acupuncture versus sham procedure,1,-6.0,-8.92,-3.08,1,2,Prostatitis symptoms (NIH‐CPSI total),Electroacupuncture
2 Prostatitis symptoms: pain subscore Show forest plot,3,204,"Mean Difference (IV, Fixed, 95% CI)","‐2.43 [‐3.21, ‐1.66]",Acupuncture versus sham procedure,1,-2.43,-3.21,-1.66,2,,Prostatitis symptoms: pain subscore,
2.1 Acupuncture,2,180,"Mean Difference (IV, Fixed, 95% CI)","‐2.00 [‐2.90, ‐1.10]",Acupuncture versus sham procedure,1,-2.0,-2.9,-1.1,2,1,Prostatitis symptoms: pain subscore,Acupuncture
2.2 Electroacupuncture,1,24,"Mean Difference (IV, Fixed, 95% CI)","‐3.6 [‐5.08, ‐2.12]",Acupuncture versus sham procedure,1,-3.6,-5.08,-2.12,2,2,Prostatitis symptoms: pain subscore,Electroacupuncture
3 Prostatitis symptoms: micturition subscore Show forest plot,3,204,"Mean Difference (IV, Fixed, 95% CI)","‐1.45 [‐1.83, ‐1.06]",Acupuncture versus sham procedure,1,-1.45,-1.83,-1.06,3,,Prostatitis symptoms: micturition subscore,
3.1 Acupuncture,2,180,"Mean Difference (IV, Fixed, 95% CI)","‐1.49 [‐1.89, ‐1.08]",Acupuncture versus sham procedure,1,-1.49,-1.89,-1.08,3,1,Prostatitis symptoms: micturition subscore,Acupuncture
3.2 Electroacupuncture,1,24,"Mean Difference (IV, Fixed, 95% CI)","‐1.1 [‐2.26, 0.06]",Acupuncture versus sham procedure,1,-1.1,-2.26,0.06,3,2,Prostatitis symptoms: micturition subscore,Electroacupuncture
4 Prostatitis symptoms: quality of life subscore Show forest plot,3,204,"Mean Difference (IV, Fixed, 95% CI)","‐2.40 [‐3.09, ‐1.71]",Acupuncture versus sham procedure,1,-2.4,-3.09,-1.71,4,,Prostatitis symptoms: quality of life subscore,
4.1 Acupuncture,2,180,"Mean Difference (IV, Fixed, 95% CI)","‐2.62 [‐3.37, ‐1.86]",Acupuncture versus sham procedure,1,-2.62,-3.37,-1.86,4,1,Prostatitis symptoms: quality of life subscore,Acupuncture
4.2 Electroacupuncture,1,24,"Mean Difference (IV, Fixed, 95% CI)","‐1.3 [‐1.00, 0.40]",Acupuncture versus sham procedure,1,-1.3,-1.0,0.4,4,2,Prostatitis symptoms: quality of life subscore,Electroacupuncture
5 Prostatitis symptoms Show forest plot,2,113,"Risk Ratio (M‐H, Random, 95% CI)","2.49 [0.77, 8.02]",Acupuncture versus sham procedure,1,2.49,0.77,8.02,5,,Prostatitis symptoms,
5.1 Acupuncture,1,89,"Risk Ratio (M‐H, Random, 95% CI)","1.56 [1.09, 2.24]",Acupuncture versus sham procedure,1,1.56,1.09,2.24,5,1,Prostatitis symptoms,Acupuncture
5.2 Electroacupuncture,1,24,"Risk Ratio (M‐H, Random, 95% CI)","5.00 [1.63, 15.31]",Acupuncture versus sham procedure,1,5.0,1.63,15.31,5,2,Prostatitis symptoms,Electroacupuncture
6 Prostatitis symptoms (NIH‐CPSI total) ‐ medium term Show forest plot,1,91,"Mean Difference (IV, Fixed, 95% CI)","‐7.36 [‐9.93, ‐4.79]",Acupuncture versus sham procedure,1,-7.36,-9.93,-4.79,6,,Prostatitis symptoms (NIH‐CPSI total) ‐ medium term,
7 Prostatitis symptoms: pain subscore ‐ medium term Show forest plot,1,91,"Mean Difference (IV, Fixed, 95% CI)","‐3.25 [‐4.45, ‐2.05]",Acupuncture versus sham procedure,1,-3.25,-4.45,-2.05,7,,Prostatitis symptoms: pain subscore ‐ medium term,
8 Prostatitis symptoms: micturition subscore ‐ medium term Show forest plot,1,91,"Mean Difference (IV, Fixed, 95% CI)","‐1.02 [‐1.54, ‐0.50]",Acupuncture versus sham procedure,1,-1.02,-1.54,-0.5,8,,Prostatitis symptoms: micturition subscore ‐ medium term,
9 Prostatitis symptoms: quality of life subscore ‐ medium term Show forest plot,1,91,"Mean Difference (IV, Fixed, 95% CI)","‐3.07 [‐4.14, ‐2.00]",Acupuncture versus sham procedure,1,-3.07,-4.14,-2.0,9,,Prostatitis symptoms: quality of life subscore ‐ medium term,
10 Adverse events Show forest plot,3,204,"Risk Ratio (M‐H, Fixed, 95% CI)","1.33 [0.51, 3.46]",Acupuncture versus sham procedure,1,1.33,0.51,3.46,10,,Adverse events,
10.1 Acupuncture,2,180,"Risk Ratio (M‐H, Fixed, 95% CI)","1.64 [0.58, 4.62]",Acupuncture versus sham procedure,1,1.64,0.58,4.62,10,1,Adverse events,Acupuncture
10.2 Electroacupuncture,1,24,"Risk Ratio (M‐H, Fixed, 95% CI)","0.33 [0.01, 7.45]",Acupuncture versus sham procedure,1,0.33,0.01,7.45,10,2,Adverse events,Electroacupuncture
11 Sexual dysfunction Show forest plot,1,89,"Mean Difference (IV, Fixed, 95% CI)","‐0.5 [‐3.46, 2.46]",Acupuncture versus sham procedure,1,-0.5,-3.46,2.46,11,,Sexual dysfunction,
12 Urinary symptoms Show forest plot,2,113,"Mean Difference (IV, Fixed, 95% CI)","‐2.79 [‐4.77, ‐0.82]",Acupuncture versus sham procedure,1,-2.79,-4.77,-0.82,12,,Urinary symptoms,
12.1 Acupuncture,1,89,"Mean Difference (IV, Fixed, 95% CI)","‐2.5 [‐4.98, ‐0.02]",Acupuncture versus sham procedure,1,-2.5,-4.98,-0.02,12,1,Urinary symptoms,Acupuncture
